"level","name","inc_band","cost_burden","value","share"
"1_state","Connecticut","Very low","Total",208730,NA
"1_state","Connecticut","Very low","No burden",29601,0.142
"1_state","Connecticut","Very low","Burden",179129,0.858
"1_state","Connecticut","Low","Total",156805,NA
"1_state","Connecticut","Low","No burden",39386,0.251
"1_state","Connecticut","Low","Burden",117419,0.749
"1_state","Connecticut","Mid-low","Total",217599,NA
"1_state","Connecticut","Mid-low","No burden",112667,0.518
"1_state","Connecticut","Mid-low","Burden",104932,0.482
"1_state","Connecticut","Mid-high","Total",237507,NA
"1_state","Connecticut","Mid-high","No burden",180110,0.758
"1_state","Connecticut","Mid-high","Burden",57397,0.242
"1_state","Connecticut","High","Total",546733,NA
"1_state","Connecticut","High","No burden",514535,0.941
"1_state","Connecticut","High","Burden",32198,0.059
"2_counties","Fairfield County","Very low","Total",56984,NA
"2_counties","Fairfield County","Very low","No burden",6951,0.122
"2_counties","Fairfield County","Very low","Burden",50033,0.878
"2_counties","Fairfield County","Low","Total",40088,NA
"2_counties","Fairfield County","Low","No burden",9711,0.242
"2_counties","Fairfield County","Low","Burden",30377,0.758
"2_counties","Fairfield County","Mid-low","Total",50351,NA
"2_counties","Fairfield County","Mid-low","No burden",23714,0.471
"2_counties","Fairfield County","Mid-low","Burden",26637,0.529
"2_counties","Fairfield County","Mid-high","Total",53938,NA
"2_counties","Fairfield County","Mid-high","No burden",37048,0.687
"2_counties","Fairfield County","Mid-high","Burden",16890,0.313
"2_counties","Fairfield County","High","Total",139131,NA
"2_counties","Fairfield County","High","No burden",127950,0.92
"2_counties","Fairfield County","High","Burden",11181,0.08
"2_counties","Hartford County","Very low","Total",55051,NA
"2_counties","Hartford County","Very low","No burden",8481,0.154
"2_counties","Hartford County","Very low","Burden",46570,0.846
"2_counties","Hartford County","Low","Total",39071,NA
"2_counties","Hartford County","Low","No burden",9961,0.255
"2_counties","Hartford County","Low","Burden",29110,0.745
"2_counties","Hartford County","Mid-low","Total",56021,NA
"2_counties","Hartford County","Mid-low","No burden",30227,0.54
"2_counties","Hartford County","Mid-low","Burden",25794,0.46
"2_counties","Hartford County","Mid-high","Total",61014,NA
"2_counties","Hartford County","Mid-high","No burden",49803,0.816
"2_counties","Hartford County","Mid-high","Burden",11211,0.184
"2_counties","Hartford County","High","Total",137906,NA
"2_counties","Hartford County","High","No burden",131717,0.955
"2_counties","Hartford County","High","Burden",6189,0.045
"2_counties","Litchfield County","Very low","Total",8847,NA
"2_counties","Litchfield County","Very low","No burden",1025,0.116
"2_counties","Litchfield County","Very low","Burden",7822,0.884
"2_counties","Litchfield County","Low","Total",8733,NA
"2_counties","Litchfield County","Low","No burden",2562,0.293
"2_counties","Litchfield County","Low","Burden",6171,0.707
"2_counties","Litchfield County","Mid-low","Total",12626,NA
"2_counties","Litchfield County","Mid-low","No burden",7940,0.629
"2_counties","Litchfield County","Mid-low","Burden",4686,0.371
"2_counties","Litchfield County","Mid-high","Total",14651,NA
"2_counties","Litchfield County","Mid-high","No burden",11769,0.803
"2_counties","Litchfield County","Mid-high","Burden",2882,0.197
"2_counties","Litchfield County","High","Total",29130,NA
"2_counties","Litchfield County","High","No burden",27684,0.95
"2_counties","Litchfield County","High","Burden",1446,0.05
"2_counties","Middlesex County","Very low","Total",9549,NA
"2_counties","Middlesex County","Very low","No burden",1277,0.134
"2_counties","Middlesex County","Very low","Burden",8272,0.866
"2_counties","Middlesex County","Low","Total",7575,NA
"2_counties","Middlesex County","Low","No burden",2349,0.31
"2_counties","Middlesex County","Low","Burden",5226,0.69
"2_counties","Middlesex County","Mid-low","Total",10848,NA
"2_counties","Middlesex County","Mid-low","No burden",6063,0.559
"2_counties","Middlesex County","Mid-low","Burden",4785,0.441
"2_counties","Middlesex County","Mid-high","Total",12205,NA
"2_counties","Middlesex County","Mid-high","No burden",9549,0.782
"2_counties","Middlesex County","Mid-high","Burden",2656,0.218
"2_counties","Middlesex County","High","Total",26716,NA
"2_counties","Middlesex County","High","No burden",25377,0.95
"2_counties","Middlesex County","High","Burden",1339,0.05
"2_counties","New Haven County","Very low","Total",49589,NA
"2_counties","New Haven County","Very low","No burden",7556,0.152
"2_counties","New Haven County","Very low","Burden",42033,0.848
"2_counties","New Haven County","Low","Total",38492,NA
"2_counties","New Haven County","Low","No burden",7950,0.207
"2_counties","New Haven County","Low","Burden",30542,0.793
"2_counties","New Haven County","Mid-low","Total",53398,NA
"2_counties","New Haven County","Mid-low","No burden",24844,0.465
"2_counties","New Haven County","Mid-low","Burden",28554,0.535
"2_counties","New Haven County","Mid-high","Total",55593,NA
"2_counties","New Haven County","Mid-high","No burden",39582,0.712
"2_counties","New Haven County","Mid-high","Burden",16011,0.288
"2_counties","New Haven County","High","Total",132784,NA
"2_counties","New Haven County","High","No burden",123784,0.932
"2_counties","New Haven County","High","Burden",9000,0.068
"2_counties","New London County","Very low","Total",14624,NA
"2_counties","New London County","Very low","No burden",2276,0.156
"2_counties","New London County","Very low","Burden",12348,0.844
"2_counties","New London County","Low","Total",11564,NA
"2_counties","New London County","Low","No burden",2969,0.257
"2_counties","New London County","Low","Burden",8595,0.743
"2_counties","New London County","Mid-low","Total",18384,NA
"2_counties","New London County","Mid-low","No burden",10316,0.561
"2_counties","New London County","Mid-low","Burden",8068,0.439
"2_counties","New London County","Mid-high","Total",20538,NA
"2_counties","New London County","Mid-high","No burden",16406,0.799
"2_counties","New London County","Mid-high","Burden",4132,0.201
"2_counties","New London County","High","Total",42292,NA
"2_counties","New London County","High","No burden",40358,0.954
"2_counties","New London County","High","Burden",1934,0.046
"2_counties","Tolland County","Very low","Total",8039,NA
"2_counties","Tolland County","Very low","No burden",999,0.124
"2_counties","Tolland County","Very low","Burden",7040,0.876
"2_counties","Tolland County","Low","Total",6656,NA
"2_counties","Tolland County","Low","No burden",2257,0.339
"2_counties","Tolland County","Low","Burden",4399,0.661
"2_counties","Tolland County","Mid-low","Total",8266,NA
"2_counties","Tolland County","Mid-low","No burden",5381,0.651
"2_counties","Tolland County","Mid-low","Burden",2885,0.349
"2_counties","Tolland County","Mid-high","Total",10949,NA
"2_counties","Tolland County","Mid-high","No burden",9161,0.837
"2_counties","Tolland County","Mid-high","Burden",1788,0.163
"2_counties","Tolland County","High","Total",21308,NA
"2_counties","Tolland County","High","No burden",20811,0.977
"2_counties","Tolland County","High","Burden",497,0.023
"2_counties","Windham County","Very low","Total",6047,NA
"2_counties","Windham County","Very low","No burden",1036,0.171
"2_counties","Windham County","Very low","Burden",5011,0.829
"2_counties","Windham County","Low","Total",4626,NA
"2_counties","Windham County","Low","No burden",1627,0.352
"2_counties","Windham County","Low","Burden",2999,0.648
"2_counties","Windham County","Mid-low","Total",7705,NA
"2_counties","Windham County","Mid-low","No burden",4182,0.543
"2_counties","Windham County","Mid-low","Burden",3523,0.457
"2_counties","Windham County","Mid-high","Total",8619,NA
"2_counties","Windham County","Mid-high","No burden",6792,0.788
"2_counties","Windham County","Mid-high","Burden",1827,0.212
"2_counties","Windham County","High","Total",17466,NA
"2_counties","Windham County","High","No burden",16854,0.965
"2_counties","Windham County","High","Burden",612,0.035
