name,year,ownershp2,minc,minc_se
Connecticut,2000,Owner,89238,376.64559610940745
Connecticut,2000,Renter,40479,402.3063478630612
Connecticut,2010,Owner,97911,292.404460126103
Connecticut,2010,Renter,39151,383.1317224722958
Connecticut,2018,Owner,101000,418.365078010359
Connecticut,2018,Renter,40223,306.10931808139577
Fairfield County,2000,Owner,107769,1155.5820766433235
Fairfield County,2000,Renter,48233,806.8823309037627
Fairfield County,2010,Owner,118999,874.5481118460789
Fairfield County,2010,Renter,46392,934.151135676016
Fairfield County,2018,Owner,126957,1404.2460598283976
Fairfield County,2018,Renter,49670,876.9386019655658
Hartford County,2000,Owner,85427,710.0663699958862
Hartford County,2000,Renter,38245,670.4133512411113
Hartford County,2010,Owner,95117,738.3715871089013
Hartford County,2010,Renter,35860,754.1596551899754
Hartford County,2018,Owner,97920,810.1418495227981
Hartford County,2018,Renter,37029,595.2880730375747
Litchfield County,2000,Owner,84585,1173.0185388155476
Litchfield County,2000,Renter,40873,954.1402887728144
Litchfield County,2010,Owner,91558,1156.4487627321735
Litchfield County,2010,Renter,39164,1812.6235510356064
Litchfield County,2018,Owner,91580,1303.3145993808305
Litchfield County,2018,Renter,40000,1318.8049007277257
Middlesex County,2000,Owner,89369,1340.3335527490992
Middlesex County,2000,Renter,47182,1876.9751697045292
Middlesex County,2010,Owner,97615,1916.9966364430577
Middlesex County,2010,Renter,42874,2132.0767709308366
Middlesex County,2018,Owner,100000,1712.7501424483246
Middlesex County,2018,Renter,41895,2140.3599400545404
New Haven County,2000,Owner,84112,683.5870658375907
New Haven County,2000,Renter,36799,670.3944629396548
New Haven County,2010,Owner,91791,633.2486646326347
New Haven County,2010,Renter,34627,536.5471455976079
New Haven County,2018,Owner,93242,986.638107756574
New Haven County,2018,Renter,36887,577.8551861253626
New London County,2000,Owner,80958,1084.0290845578645
New London County,2000,Renter,42082,1239.6064796362546
New London County,2010,Owner,91111,1186.8083083907613
New London County,2010,Renter,45544,1161.4323594771604
New London County,2018,Owner,92320,1299.997868345917
New London County,2018,Renter,44446,1084.6260076043682
Tolland County,2000,Owner,93575,1428.1101480701207
Tolland County,2000,Renter,43370,1678.6525711441777
Tolland County,2010,Owner,101981,1679.2920187990644
Tolland County,2010,Renter,44694,1530.5062579782195
Tolland County,2018,Owner,103488,1707.7212273519385
Tolland County,2018,Renter,39800,1698.7921542422441
Windham County,2000,Owner,74124,1473.236963798677
Windham County,2000,Renter,34171,1178.3638342858053
Windham County,2010,Owner,81388,1204.4374472939721
Windham County,2010,Renter,33657,1669.3467337265972
Windham County,2018,Owner,80164,1485.5202702371066
Windham County,2018,Renter,32890,1639.2378001967359
